Country Name,Country Code,Indicator Name,Indicator Code,Attribute,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Base Year
ASEAN,511,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-0.185163381,1.093747672,1.549016386,1.228456509,0.747648262,0.321458457,0.138991097,-0.125753274,-0.300170826,
Brunei Darussalam,516,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,20.88099529,31.88101379,12.03117318,4.318384956,-4.109312796,-0.158359721,12.02225205,13.33373314,15.09042277,
Cambodia,522,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-12.33175627,-12.10954728,-10.62032935,-10.16688982,-9.423782504,-8.905424661,-8.199339262,-8.471632241,-8.646330463,
Indonesia,536,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-3.182921029,-3.088894675,-2.055260945,-2.26165452,-2.333857249,-2.43817063,-2.306650483,-2.303133311,-2.257902261,
Lao People's Democratic Republic,544,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-28.94590598,-22.84528748,-23.1149525,-17.957219,-17.61931229,-15.32989134,-14.47814001,-14.17910491,-13.71695874,
Malaysia,548,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,3.483688227,4.388172333,2.995168683,1.204147378,1.485824444,1.493888136,1.498719454,1.501845255,1.505388611,
Myanmar,518,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-4.916660867,-5.601075894,-7.759435923,-8.296853691,-8.098265843,-7.136973409,-7.121413266,-6.740177868,-5.737431953,
Philippines,566,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,4.187815022,3.776996638,2.870906587,1.77817256,1.391434864,1.103759928,0.817658052,0.532682769,0.244968011,
Singapore,576,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,17.9064061,17.46843452,19.78654165,19.30373463,19.30917343,18.32447205,17.35064488,16.52481866,15.69961002,
Thailand,578,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-1.231070346,3.81325048,7.840051544,9.649996631,7.668084677,5.866284078,4.617571967,3.199971494,2.211885928,
Vietnam,582,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,4.540208122,5.11465648,0.473133106,0.383847043,0.105184248,0.177945585,0.354122984,0.462965202,0.696983441,
Bhutan,514,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-25.40960804,-26.40364673,-28.8251853,-27.7890616,-31.46099971,-20.71413882,-14.10932553,-4.341352397,-5.321399251,
Fiji,819,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-9.826963646,-7.461796584,-5.357317257,-7.215649511,-7.035660417,-6.773954522,-6.505364916,-6.053826917,-5.666076283,
Kiribati,826,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,8.240136367,24.01217064,44.92485273,-7.152849686,-2.495230661,-1.589982879,0.116781316,1.623962718,2.182777343,
Maldives,556,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-4.528652905,-3.858290015,-9.471862975,-11.89077706,-14.07321331,-16.81618782,-13.92110859,-10.91524658,-9.843854317,
"Marshall Islands, Republic of",867,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-9.89675648,-4.390971676,-3.222541462,-7.649841517,-9.383308706,-9.481397132,-9.612461375,-10.42304065,-11.19246191,
"Micronesia, Federated States of",868,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-10.01794829,6.767537643,1.024496213,-0.110747238,-0.668435321,-1.301061751,-1.949745987,-2.382411434,-2.866651886,
Palau,565,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-9.279202694,-11.77798796,-0.504834872,-5.267864735,-7.031805787,-8.286831996,-6.310767912,-5.553671561,-4.870714251,
Papua New Guinea,853,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-31.49645429,3.00009837,10.07255844,7.452743594,6.054415417,4.918378261,4.337617448,3.428237691,3.226562198,
Samoa,862,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-0.188391409,-7.286269875,-3.670424888,-3.287680668,-3.032242407,-2.784844215,-2.740467998,-2.299784958,-3.075894392,
Solomon Islands,813,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-3.46530182,-4.342798597,-2.620301791,-4.413940671,-7.697930821,-6.996881037,-6.190177767,-6.001909631,-3.337511203,
"Timor-Leste, Dem. Rep. of",537,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,42.38855477,26.18401551,8.314028837,-9.927764913,-11.62774948,-12.33568385,-12.71774133,-13.10883432,-8.437795655,
Tonga,866,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-6.216827304,-9.369507313,-8.005848344,-7.566549253,-11.4843136,-12.55498288,-10.07806187,-8.391394222,-8.655084302,
